Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
SBD87,"1,032.20",-0.75,"1,032.20","1,032.20","1,032.20",25,,
SBI,416.00,-0.48,420.00,413.10,417.90,"87,772",,
SBID83,"1,093.70",-2,"1,093.70","1,093.70","1,093.70",100,,
SBID89,"1,080.00",-1.37,"1,080.00","1,075.50","1,075.50",100,,
SBL,286.00,4.38,286.00,272.00,274.00,"87,577",,
SBLD2082,"1,090.00",-0.46,"1,090.00","1,090.00","1,090.00",500,,
SBLD83,"1,079.00",-0.88,"1,079.00","1,058.00","1,066.90",50,,
SBLD84,"1,028.60",0,"1,028.60","1,028.60","1,028.60",205,,
SBLD89,"1,199.50",0.04,"1,199.50","1,176.00","1,180.00",175,,
SCB,670.00,-0.3,680.00,667.10,667.10,"18,528",,
SDBD87,"1,048.00",-0.1,"1,048.00","1,043.00","1,043.00",75,,
SEF,9.50,-1.14,9.50,9.50,9.50,"11,800",,
SFCL,560.00,4.65,565.00,520.00,535.10,"72,185",,
SFEF,9.64,6.87,9.64,9.11,9.11,"46,320",,
SGHC,620.00,1.69,621.00,604.00,604.00,"60,374",,
SGIC,679.00,0.56,687.00,670.10,679.00,"30,878",,
SGICP,100.00,0,100.00,100.00,100.00,"7,300",,
SHEL,254.90,1.96,256.50,248.30,248.30,"171,314",,
SHINE,434.00,6.9,435.00,403.00,403.00,"151,109",,
SHIVM,546.50,-0.42,566.10,546.00,555.00,"78,270",,
SHL,515.00,1.04,517.00,500.00,511.00,"44,820",,
SHLB,"2,616.00",-0.15,"2,703.00","2,611.00","2,649.90","5,457",,
SHPC,512.50,-0.29,519.90,504.10,504.10,"138,069",,
SICL,795.20,-0.1,805.00,790.00,791.00,"10,634",,
SIFC,528.50,2.03,533.00,505.00,528.00,"32,717",,
SIGS2,9.56,1.92,9.56,9.56,9.56,"10,000",,
SIGS3,9.50,1.17,9.69,9.31,9.31,"1,300",,
SIKLES,"1,205.60",10,"1,205.60","1,100.00","1,100.00","51,321",,
SINDU,"1,246.80",9.47,"1,246.80","1,072.10","1,116.20","141,231",,
SJCL,360.10,0.03,364.40,357.00,361.40,"27,400",,
SJLIC,447.20,-0.62,450.00,446.00,448.00,"43,130",,
